Collecting time,X,Y,Z,
0,143,-631,-428,
40,133,-651,-425,
80,121,-693,-407,
120,119,-762,-354,
160,121,-812,-284,
200,126,-844,-214,
240,124,-866,-145,
280,129,-868,-65,
320,129,-863,-10,
360,130,-849,43,
400,124,-833,97,
440,127,-820,110,
480,132,-810,121,
520,136,-801,127,
560,141,-791,141,
600,141,-785,146,
640,133,-785,162,
680,139,-777,165,
720,146,-767,168,
760,152,-758,174,
800,161,-739,177,
840,158,-718,204,
880,159,-701,217,
920,164,-687,223,
960,162,-677,235,
1001,154,-666,250,
1041,156,-652,263,
1081,152,-635,275,
1121,148,-628,279,
1161,149,-620,286,
1201,151,-616,287,
1241,150,-603,293,
1281,155,-579,303,
1321,162,-555,305,
1361,164,-528,311,
1401,164,-499,317,
1441,167,-477,319,
1481,165,-449,324,
1521,161,-439,327,
1561,162,-431,328,
1601,161,-423,326,
1641,159,-418,329,
1681,159,-418,328,
1721,161,-414,329,
1761,162,-418,329,
1801,168,-396,324,
1841,171,-358,317,
1881,169,-321,318,
1921,171,-285,313,
1961,173,-267,305,
2002,174,-256,303,
2042,183,-235,286,
2082,191,-178,255,
2122,196,-117,206,
2162,204,-68,147,
2202,214,-23,54,
2242,217,-2,-31,
2282,214,0,-94,
2322,208,0,-155,
2362,205,-6,-185,
2402,204,-11,-204,
2442,199,-16,-220,
2482,196,-24,-244,
2522,196,-33,-260,
2562,202,-57,-278,
2602,218,-94,-300,
2642,230,-141,-317,
2682,238,-190,-341,
2722,244,-237,-359,
2762,234,-291,-389,
2802,201,-391,-440,
2842,187,-457,-451,
2882,179,-508,-449,
2922,169,-575,-440,
2962,159,-628,-420,
3003,155,-667,-398,
3043,150,-705,-377,
3083,147,-735,-354,
3123,148,-785,-292,
3163,153,-827,-189,
3203,154,-847,-45,
3243,140,-835,61,
3283,130,-821,110,
3323,126,-806,140,
3363,120,-794,169,
3403,116,-775,196,
3443,112,-763,210,
3483,119,-762,202,
3523,130,-745,214,
3563,147,-725,215,
3603,155,-688,234,
3643,191,-596,259,
3683,208,-500,277,
3723,197,-385,300,
3763,188,-304,302,
3803,181,-241,295,
3843,172,-196,286,
3883,159,-142,266,
3923,154,-94,238,
3963,148,-52,217,
4004,141,-23,190,
4044,137,7,153,
4084,142,55,43,
4124,147,71,-66,
4164,156,56,-150,
4204,149,42,-209,
4244,145,29,-247,
4284,143,18,-273,
4324,140,8,-290,
4364,140,-6,-311,
4404,146,-20,-324,
4444,154,-32,-324,
4484,163,-50,-332,
4524,171,-84,-361,
4564,181,-146,-397,
4604,189,-278,-445,
4644,178,-372,-468,
4684,171,-427,-470,
4724,171,-465,-470,
4764,169,-501,-465,
4804,166,-543,-462,
4844,164,-579,-446,
4884,163,-610,-438,
4924,156,-656,-419,
4964,155,-688,-399,
5005,152,-708,-387,
5045,148,-737,-371,
5085,148,-772,-329,
5125,149,-812,-277,
5165,148,-841,-222,
5205,153,-850,-192,
5245,154,-860,-147,
5285,151,-869,-86,
5325,153,-869,-31,
5365,147,-867,7,
5405,128,-857,87,
5445,118,-839,138,
5485,111,-815,184,
5525,108,-794,212,
5565,128,-779,214,
5605,148,-755,214,
5645,159,-719,234,
5685,179,-638,274,
5725,195,-549,294,
5765,173,-451,336,
5805,168,-404,344,
5845,172,-372,340,
5885,167,-332,344,
5925,153,-298,343,
5965,158,-262,333,
6006,162,-232,317,
6046,157,-207,313,
6086,166,-169,288,
6126,176,-115,244,
6166,174,14,75,
6206,173,56,-34,
6246,173,53,-30,
