Collecting time,X,Y,Z,
0,-372,-833,-217,
40,-368,-837,-216,
80,-365,-841,-215,
120,-361,-842,-213,
160,-358,-845,-214,
200,-357,-844,-211,
240,-357,-846,-213,
280,-355,-846,-214,
320,-356,-845,-213,
360,-352,-845,-215,
400,-352,-844,-216,
440,-350,-844,-221,
480,-350,-845,-219,
520,-350,-843,-221,
560,-350,-843,-221,
600,-353,-843,-219,
640,-354,-839,-224,
680,-355,-840,-225,
720,-355,-837,-228,
760,-355,-838,-231,
800,-355,-837,-229,
840,-358,-834,-231,
880,-357,-834,-233,
920,-358,-836,-231,
960,-356,-836,-228,
1001,-355,-838,-226,
1041,-353,-838,-228,
1081,-350,-840,-227,
1121,-349,-841,-226,
1161,-347,-838,-229,
1201,-347,-839,-232,
1241,-348,-839,-234,
1281,-347,-836,-232,
1321,-348,-840,-233,
1361,-348,-838,-236,
1401,-349,-838,-234,
1441,-348,-838,-232,
1481,-350,-838,-235,
1521,-348,-840,-235,
1561,-350,-838,-235,
1601,-350,-837,-235,
1641,-350,-837,-235,
1681,-346,-838,-238,
1721,-339,-838,-243,
1761,-332,-844,-244,
1801,-329,-844,-250,
1841,-319,-839,-271,
1881,-313,-820,-307,
1921,-314,-776,-368,
1961,-323,-693,-438,
2002,-323,-539,-517,
2042,-257,-359,-559,
2082,-167,-231,-563,
2122,-95,-126,-533,
2162,-55,-26,-473,
2202,-64,37,-428,
2242,-126,54,-418,
2282,-218,48,-420,
2322,-320,11,-421,
2362,-414,-110,-451,
2402,-455,-316,-494,
2442,-385,-483,-524,
2482,-254,-600,-514,
2522,-41,-629,-475,
2562,127,-634,-363,
2602,221,-629,-203,
2642,256,-607,-36,
2682,242,-574,110,
2722,173,-559,242,
2762,74,-545,342,
2802,-40,-537,399,
2842,-143,-498,422,
2882,-217,-426,429,
2922,-247,-325,425,
2962,-227,-250,423,
3003,-157,-220,434,
3043,-42,-228,441,
3083,46,-290,435,
3123,119,-395,412,
3163,110,-523,378,
3203,54,-609,347,
3243,20,-641,326,
3283,1,-644,327,
3323,-35,-666,331,
3363,-93,-699,329,
3403,-139,-690,354,
3443,-209,-658,378,
3483,-291,-588,398,
3523,-364,-465,404,
3563,-423,-337,368,
3603,-441,-186,304,
3643,-410,-48,228,
3683,-359,37,173,
3723,-297,96,129,
3763,-243,149,36,
3803,-190,182,-70,
3843,-131,186,-161,
3883,-48,134,-319,
3923,133,7,-388,
3963,297,-162,-297,
4004,350,-318,-114,
4044,320,-372,16,
4084,283,-407,80,
4124,255,-458,122,
4164,236,-511,144,
4204,197,-591,175,
4244,126,-688,206,
4284,20,-745,255,
4324,-117,-731,315,
4364,-237,-629,367,
4404,-317,-516,385,
4444,-344,-378,390,
4484,-314,-296,407,
4524,-214,-282,446,
4564,-119,-358,472,
4604,-13,-446,464,
4644,11,-592,410,
4684,-24,-675,351,
4724,-60,-708,305,
4764,-57,-719,285,
4804,-56,-718,289,
4844,-55,-671,326,
4884,-55,-613,360,
4924,-61,-562,390,
4964,-83,-492,419,
5005,-128,-432,436,
